config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir,M,L_A_cyc,O_cyc,steady_B_cyc,T_pred_cyc,T_pred_ns,regime
512x128,512,128,bert_ffn2,gemm,512,128,0,0,0,0,1,1,1,True,450.607,10,10,0.2239,29383.71,13493.91,151998.4913103988,74107504.79290287,88776604.84434578,6388.4245,6294.4286,0,0,811.0575,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/512x128/bert_ffn2,128,114,26,114,14618,32440.685564139036,feed-bound
256x128,256,128,bert_ffn2,gemm,512,128,0,0,0,0,2,1,2,False,419.491,14,14,0.438844,16003.19,31471.95,142391.24050096204,31774326.026827063,221024480.78459832,9840.3751,13436.8404,10.8779,7372.8,811.0575,21,0,6,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/256x128/bert_ffn2,128,63,26,63,8090,19285.27668054857,feed-bound
1024x128,1024,128,bert_ffn2,gemm,512,128,0,0,0,0,1,1,1,True,419.491,10,10,0.2239,31562.52,18404.68,141505.79830451682,54334006.35055866,130063080.24490704,10746.4942,6847.1247,0,0,811.0575,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/1024x128/bert_ffn2,128,216,26,216,27674,65970.426063968,feed-bound
256x64,256,64,bert_ffn2,gemm,512,128,0,0,0,0,2,2,4,False,385.841,14,14,0.438844,17330.61,34341.58,131484.9319252231,29119219.325377572,261182627.52366507,11444.8636,14701.9814,10.8779,7372.8,811.0575,21,0,6,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/256x64/bert_ffn2,128,63,13,63,8077,20933.49333015413,feed-bound
256x256,256,256,bert_ffn2,gemm,512,128,0,0,0,0,2,1,2,False,385.841,14,14,0.438844,18735.38,57969.7,121626.25343454954,17250391.152619388,476621603.9960082,20650.8608,29124.1045,10.8779,7372.8,811.0575,21,0,6,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/256x256/bert_ffn2,128,63,52,63,8116,21034.571235301588,feed-bound
512x64,512,64,bert_ffn2,gemm,512,128,0,0,0,0,1,2,2,True,357.189,10,10,0.2239,36993.22,17717.86,120732.3825582709,56440224.72239875,146753171.1423699,8865.3839,8041.4212,0,0,811.0575,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/512x64/bert_ffn2,128,114,13,114,14605,40888.71717774063,feed-bound
512x256,512,256,bert_ffn2,gemm,512,128,0,0,0,0,1,1,1,True,419.491,12,12,0.322416,31624.5,27286.05,98075.32286637553,36648763.745576955,278215245.2067516,13038.1553,13436.8404,0,0,811.0575,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/512x256/bert_ffn2,128,114,52,114,14644,34908.97301729954,feed-bound
1024x256,1024,256,bert_ffn2,gemm,512,128,0,0,0,0,1,1,1,True,385.841,12,12,0.322416,34381.67,37387.9,90210.36639545704,26746621.23307273,414452368.3242999,21874.8593,14701.9814,0,0,811.0575,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/1024x256/bert_ffn2,128,216,52,216,27700,71791.23006627081,feed-bound
128x64,128,64,bert_ffn2,gemm,512,128,0,0,0,0,4,2,8,False,312.052,24,24,1.289664,10764.62,66500.77,72031.87497532873,15037419.867469203,923213091.7427436,22158.0301,36126.2456,32.6337,7372.8,811.0575,33,0,10,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/128x64/bert_ffn2,128,37,13,37,4749,15218.61740991886,feed-bound
128x128,128,128,bert_ffn2,gemm,512,128,0,0,0,0,4,1,4,False,320.335,24,24,1.289664,11837.7,63982.43,65502.23117640448,15629290.728720369,976797718.9614887,20686.1842,35079.7559,32.6337,7372.8,811.0575,35,0,10,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/gemm_phase2_1/vtr_runs/128x128/bert_ffn2,128,37,26,37,4762,14865.6874834158,feed-bound
