config,rows,cols,logic_area_mwta,logic_area_um2,tile_w,tile_h,tile_cells,tile_area_um2,al_area_ratio,power_mw
128x64,128,64,360204,12197,1,5,5,11195,0.167,11.85
128x128,128,128,709950,24041,1,11,11,24629,0.367,23.57
128x256,128,256,1419900,48083,3,7,21,47019,0.7,47.13
256x64,256,64,413238,13993,2,3,6,13434,0.2,12.16
256x128,256,128,805559,27279,3,4,12,26868,0.4,24.03
256x256,256,256,1590199,53850,4,6,24,53736,0.8,47.79
512x64,512,64,519307,17585,2,4,8,17912,0.267,12.77
512x128,512,128,996776,33754,3,5,15,33585,0.5,24.97
512x256,512,256,1951715,66092,5,6,30,67170,1.0,49.38
1024x64,1024,64,731444,24769,1,11,11,24629,0.367,13.98
1024x128,1024,128,1379212,46705,3,7,21,47019,0.7,26.84
1024x256,1024,256,2674748,90577,5,8,40,89560,1.333,52.56
