dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,limit,run_dir
0.2,0.0,1024x128,attention,1,10,1,1,7,160,10978,165.46633333333332,165.46633333333332,1.0,1.0,13482676.39,13482676.39,1.0,120,120,159,2,68,7,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d20_c0/attention
0.2,0.2,1024x128,attention,5,40,1,1,7,740,8782,154.55966666666666,165.46633333333332,4.6704,0.9341,14398844.69,13482676.39,0.9364,120,120,724,10,324,35,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d20_c20/attention
0.2,0.4,1024x128,attention,7,100,1,1,7,1030,6586,155.70166666666668,165.46633333333332,6.5869,0.941,14296899.74,13482676.39,0.943,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d20_c40/attention
0.2,0.6,1024x128,attention,7,150,1,1,7,1030,4391,156.08433333333332,165.46633333333332,6.6031,0.9433,14263073.24,13482676.39,0.9453,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d20_c60/attention
0.4,0.0,1024x128,attention,2,20,1,1,7,305,10978,162.69433333333333,165.46633333333332,1.9665,0.9832,13703884.07,13482676.39,0.9839,120,120,301,4,132,14,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d40_c0/attention
0.4,0.2,1024x128,attention,7,50,1,1,7,1030,8782,150.39166666666665,165.46633333333332,6.3623,0.9089,14784054.02,13482676.39,0.912,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d40_c20/attention
0.4,0.4,1024x128,attention,7,110,1,1,7,1030,6586,159.379,165.46633333333332,6.7425,0.9632,13978555.01,13482676.39,0.9645,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d40_c40/attention
0.4,0.6,1024x128,attention,7,160,1,1,7,1030,4391,157.56733333333332,165.46633333333332,6.6658,0.9523,14133533.0,13482676.39,0.9539,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d40_c60/attention
0.6,0.0,1024x128,attention,5,40,1,1,7,740,10978,161.47133333333332,165.46633333333332,4.8793,0.9759,13803895.04,13482676.39,0.9767,120,120,724,10,324,35,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d60_c0/attention
0.6,0.2,1024x128,attention,7,70,1,1,7,1030,8782,154.01333333333332,165.46633333333332,6.5155,0.9308,14448149.84,13482676.39,0.9332,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d60_c20/attention
0.6,0.4,1024x128,attention,7,120,1,1,7,1030,6586,156.27733333333333,165.46633333333332,6.6113,0.9445,14246075.51,13482676.39,0.9464,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d60_c40/attention
0.6,0.6,1024x128,attention,7,180,1,1,7,1030,4391,158.505,165.46633333333332,6.7055,0.9579,14052878.55,13482676.39,0.9594,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d60_c60/attention
0.8,0.0,1024x128,attention,7,50,1,1,7,1030,10978,159.31266666666667,165.46633333333332,6.7397,0.9628,13984167.29,13482676.39,0.9641,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d80_c0/attention
0.8,0.2,1024x128,attention,7,80,1,1,7,1030,8782,159.80766666666668,165.46633333333332,6.7606,0.9658,13942399.03,13482676.39,0.967,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d80_c20/attention
0.8,0.4,1024x128,attention,7,130,1,1,7,1030,6586,138.45733333333334,165.46633333333332,5.8574,0.8368,16015307.48,13482676.39,0.8419,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d80_c40/attention
0.8,0.6,1024x128,attention,7,190,1,1,7,1030,4391,146.43466666666666,165.46633333333332,6.1949,0.885,15170054.12,13482676.39,0.8888,120,120,1009,14,452,49,bram,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x128/d80_c60/attention
0.2,0.0,1024x256,attention,1,13,1,1,7,160,10978,169.03033333333335,169.03033333333335,1.0,1.0,23564730.26,23564730.26,1.0,120,120,159,2,68,7,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x256/d20_c0/attention
0.2,0.2,1024x256,attention,1,13,1,1,7,160,8782,169.03033333333335,169.03033333333335,1.0,1.0,23564730.26,23564730.26,1.0,120,120,159,2,68,7,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x256/d20_c20/attention
0.2,0.4,1024x256,attention,1,13,1,1,7,160,6586,169.03033333333335,169.03033333333335,1.0,1.0,23564730.26,23564730.26,1.0,120,120,159,2,68,7,dpe,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_attention/1024x256/d20_c40/attention
