dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,tpj_scaling,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.2,0.0,1024x128,fc_2048_256,2,10,2,2,4,90,10978,0.8,216.62800000000001,216.62800000000001,2.0,1.0,1224.49,1224.49,1.0,1.0,120,120,31,0,12,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d20_c0/fc_2048_256
0.2,0.2,1024x128,fc_2048_256,10,40,2,2,4,330,8782,3.8,191.4573333333333,216.62800000000001,8.8381,0.8838,1364.46,1224.49,0.8974,0.7931,120,120,143,0,60,40,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d20_c20/fc_2048_256
0.2,0.4,1024x128,fc_2048_256,25,100,2,2,4,780,6586,11.8,129.89466666666667,216.62800000000001,14.9905,0.5996,1935.39,1224.49,0.6327,0.3794,120,120,367,0,150,100,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d20_c40/fc_2048_256
0.2,0.6,1024x128,fc_2048_256,37,150,2,2,4,1140,4391,26.0,114.23733333333332,216.62800000000001,19.5117,0.5273,2178.75,1224.49,0.562,0.2964,120,120,517,0,222,148,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d20_c60/fc_2048_256
0.4,0.0,1024x128,fc_2048_256,5,20,2,2,4,180,10978,1.6,211.7703333333333,216.62800000000001,4.8879,0.9776,1248.91,1224.49,0.9804,0.9585,120,120,79,0,30,20,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d40_c0/fc_2048_256
0.4,0.2,1024x128,fc_2048_256,12,50,2,2,4,390,8782,4.4,133.62766666666667,216.62800000000001,7.4022,0.6169,1885.79,1224.49,0.6493,0.4005,120,120,177,0,72,48,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d40_c20/fc_2048_256
0.4,0.4,1024x128,fc_2048_256,27,110,2,2,4,840,6586,12.8,134.413,216.62800000000001,16.7529,0.6205,1875.7,1224.49,0.6528,0.4051,120,120,392,0,162,108,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d40_c40/fc_2048_256
0.4,0.6,1024x128,fc_2048_256,40,160,2,2,4,1230,4391,28.0,119.44600000000001,216.62800000000001,22.0555,0.5514,2090.71,1224.49,0.5857,0.3229,120,120,550,0,240,160,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d40_c60/fc_2048_256
0.6,0.0,1024x128,fc_2048_256,10,40,2,2,4,330,10978,3.0,158.269,216.62800000000001,7.306,0.7306,1617.07,1224.49,0.7572,0.5532,120,120,143,0,60,40,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d60_c0/fc_2048_256
0.6,0.2,1024x128,fc_2048_256,17,70,2,2,4,540,8782,6.1,168.394,216.62800000000001,13.2148,0.7773,1529.45,1224.49,0.8006,0.6223,120,120,250,0,102,68,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/1024x128/d60_c20/fc_2048_256
