dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_avail,dsps_avail,p_dpe,p_clb,p_bram,p_dsp,limit,fmax_mhz,fmax_baseline_mhz,gain,utilization,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.2,0.0,512x128,fc_512_128,14,14,1,1,1,10978,174,14,117,29,43,dpe,130.9167,130.9167,14.0,1.0,120,120,1304,56,224,14,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d20_c0/fc_512_128
0.2,0.2,512x128,fc_512_128,29,56,1,1,1,8782,174,56,94,29,43,bram,115.9853,130.9167,25.6925,0.8859,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d20_c20/fc_512_128
0.2,0.4,512x128,fc_512_128,29,140,1,1,1,6586,174,140,70,29,43,bram,119.6267,130.9167,26.4991,0.9138,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d20_c40/fc_512_128
0.2,0.6,512x128,fc_512_128,29,210,1,1,1,4391,174,210,47,29,43,bram,117.1813,130.9167,25.9574,0.8951,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d20_c60/fc_512_128
0.4,0.0,512x128,fc_512_128,28,28,1,1,1,10978,145,28,117,29,36,dpe,130.714,130.9167,27.9567,0.9985,120,120,2643,112,448,28,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d40_c0/fc_512_128
0.4,0.2,512x128,fc_512_128,29,70,1,1,1,8782,145,70,94,29,36,bram,124.4537,130.9167,27.5683,0.9506,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d40_c20/fc_512_128
0.4,0.4,512x128,fc_512_128,29,154,1,1,1,6586,145,154,70,29,36,bram,121.4217,130.9167,26.8967,0.9275,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d40_c40/fc_512_128
0.4,0.6,512x128,fc_512_128,29,224,1,1,1,4391,145,224,47,29,36,bram,121.1213,130.9167,26.8302,0.9252,120,120,2663,116,464,29,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d40_c60/fc_512_128
0.6,0.0,512x128,fc_512_128,21,56,1,1,1,10978,87,56,117,29,21,dsp,131.1173,130.9167,21.0322,1.0015,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d60_c0/fc_512_128
0.6,0.2,512x128,fc_512_128,21,98,1,1,1,8782,87,98,94,29,21,dsp,135.41,130.9167,21.7208,1.0343,120,120,1943,84,336,21,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_fc_softmax/512x128/d60_c20/fc_512_128
