config,budget_pct,workload,wl_type,n_seq,d_head,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
128x128,10,attention_128_128,attention,128,128,1,163.6783333333333,6.109544126182452,6.0,170.555,152.676,167.804,OK
128x128,10,attention_128_64,attention,128,64,1,185.40099999999998,5.393714165511513,6.0,178.619,190.42,187.164,OK
128x128,10,attention_256_64,attention,256,64,1,166.77833333333334,5.99598269159663,6.0,169.363,158.906,172.066,OK
128x128,20,attention_128_128,attention,128,128,1,172.654,5.791930682173596,15.0,170.456,171.201,176.305,OK
128x128,20,attention_128_64,attention,128,64,1,188.32600000000002,5.309941272049531,15.0,187.68,187.8,189.498,OK
128x128,20,attention_256_64,attention,256,64,1,163.23433333333335,6.126162184017659,15.0,161.877,162.966,164.86,OK
128x128,30,attention_128_128,attention,128,128,1,170.54366666666667,5.863600915503556,21.0,173.93,171.221,166.48,OK
128x128,30,attention_128_64,attention,128,64,1,189.20766666666668,5.285198098033377,21.0,193.37,184.632,189.621,OK
128x128,30,attention_256_64,attention,256,64,1,161.19733333333332,6.203576568677729,21.0,160.954,169.49,153.148,OK
128x128,35,attention_128_128,attention,128,128,1,164.02966666666666,6.096458161023717,30.0,160.173,164.832,167.084,OK
128x128,35,attention_128_64,attention,128,64,1,184.79166666666666,5.411499436302142,30.0,182.429,184.146,187.8,OK
128x128,35,attention_256_64,attention,256,64,1,164.922,6.063472429390863,30.0,164.619,166.527,163.62,OK
128x64,10,attention_128_128,attention,128,128,1,186.3456666666667,5.366371098871809,6.111111111111111,186.441,187.185,185.411,OK
128x64,10,attention_128_64,attention,128,64,1,186.61666666666667,5.358578190586764,6.111111111111111,182.429,187.8,189.621,OK
128x64,10,attention_256_64,attention,256,64,1,161.556,6.1898041545965485,6.111111111111111,163.319,159.658,161.691,OK
128x64,20,attention_128_128,attention,128,128,1,182.87,5.468365505550391,15.277777777777779,179.665,185.896,183.049,OK
128x64,20,attention_128_64,attention,128,64,1,183.02566666666667,5.463714560981429,15.277777777777779,185.017,185.896,178.164,OK
128x64,20,attention_256_64,attention,256,64,1,167.234,5.979645287441548,15.277777777777779,169.059,157.956,174.687,OK
128x64,30,attention_128_128,attention,128,128,1,178.46733333333336,5.60326633071972,21.38888888888889,186.636,170.102,178.664,OK
128x64,30,attention_128_64,attention,128,64,1,187.525,5.332622317024397,21.38888888888889,189.498,189.498,183.579,OK
128x64,30,attention_256_64,attention,256,64,1,159.393,6.273801233429323,21.38888888888889,167.419,157.956,152.804,OK
128x64,35,attention_128_128,attention,128,128,1,179.75733333333332,5.56305537836194,30.555555555555557,186.946,164.141,188.185,OK
128x64,35,attention_128_64,attention,128,64,1,186.482,5.362447850194657,30.555555555555557,182.429,189.217,187.8,OK
128x64,35,attention_256_64,attention,256,64,1,164.16366666666667,6.091481874795681,30.555555555555557,171.363,163.172,157.956,OK
512x64,10,attention_128_128,attention,128,128,1,186.3456666666667,5.366371098871809,6.222222222222222,186.441,187.185,185.411,OK
512x64,10,attention_128_64,attention,128,64,1,186.61666666666667,5.358578190586764,6.222222222222222,182.429,187.8,189.621,OK
512x64,20,attention_128_128,attention,128,128,1,182.87,5.468365505550391,15.555555555555555,179.665,185.896,183.049,OK
512x64,20,attention_128_64,attention,128,64,1,183.02566666666667,5.463714560981429,15.555555555555555,185.017,185.896,178.164,OK
512x64,20,attention_256_64,attention,256,64,1,167.234,5.979645287441548,15.555555555555555,169.059,157.956,174.687,OK
512x64,30,attention_128_128,attention,128,128,1,178.46733333333336,5.60326633071972,21.777777777777775,186.636,170.102,178.664,OK
512x64,30,attention_128_64,attention,128,64,1,187.525,5.332622317024397,21.777777777777775,189.498,189.498,183.579,OK
512x64,30,attention_256_64,attention,256,64,1,159.393,6.273801233429323,21.777777777777775,167.419,157.956,152.804,OK
512x64,35,attention_128_128,attention,128,128,1,179.75733333333332,5.56305537836194,31.11111111111111,186.946,164.141,188.185,OK
512x64,35,attention_128_64,attention,128,64,1,186.482,5.362447850194657,31.11111111111111,182.429,189.217,187.8,OK
512x64,35,attention_256_64,attention,256,64,1,164.16366666666667,6.091481874795681,31.11111111111111,171.363,163.172,157.956,OK
