tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
1024x128,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
1024x128,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
1024x128,0,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
1024x128,0,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
1024x128,10,LU8PEEng,12.2495,12.0944,11.8412,12.8129,1676,8,74,OK
1024x128,10,arm_core,46.461333333333336,47.9904,44.934,46.4596,662,0,42,OK
1024x128,10,bgm,52.98466666666667,50.9315,54.085,53.9375,2089,11,0,OK
1024x128,10,stereovision1,179.64133333333334,188.655,181.535,168.734,519,40,0,OK
1024x128,20,LU8PEEng,12.515600000000001,12.6308,12.5566,12.3594,1676,8,74,OK
1024x128,20,arm_core,46.442133333333324,46.9128,45.3621,47.0515,662,0,42,OK
1024x128,20,bgm,52.748400000000004,51.0569,53.0668,54.1215,2089,11,0,OK
1024x128,20,stereovision1,180.879,178.139,186.292,178.206,519,40,0,OK
1024x128,30,LU8PEEng,12.0129,11.7721,12.2647,12.0019,1676,8,74,OK
1024x128,30,arm_core,46.07833333333334,47.5002,46.8202,43.9146,662,0,42,OK
1024x128,30,bgm,50.07226666666667,47.8598,52.8277,49.5293,2089,11,0,OK
1024x128,30,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
1024x128,35,LU8PEEng,12.177933333333334,11.8788,12.2255,12.4295,1676,8,74,OK
1024x128,35,arm_core,45.77453333333333,44.8533,46.4596,46.0107,662,0,42,OK
1024x128,35,bgm,51.877,51.7256,51.1992,52.7062,2089,11,0,OK
1024x128,35,stereovision1,182.32366666666667,182.718,181.535,182.718,519,40,0,OK
1024x128,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
1024x128,40,arm_core,46.86723333333333,48.3268,45.3621,46.9128,662,0,42,OK
1024x128,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
1024x128,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
1024x128,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
1024x128,50,arm_core,45.13896666666667,44.5223,45.1513,45.7433,662,0,42,OK
1024x128,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
1024x128,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
1024x256,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
1024x256,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
