config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
128x256,128,256,attention_128_64,,64,128,,,,,1,1,7,True,195.3,40,40,3.5824,95975.02,9948032.2,2908.4909210635474,100522.39276024861,,16964.9483,28769.2616,796968.766,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/attention_128_64
512x128,512,128,attention_128_64,,64,128,,,,,1,1,7,True,174.198,38,38,3.233116,107289.92,7510919.47,2882.835037248125,133139.4916420266,,16525.2689,16282.1249,893511.9806,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/attention_128_64
512x64,512,64,attention_128_64,,64,128,,,,,1,1,11,True,195.431,40,40,3.5824,98502.33,5016114.22,2833.866714816719,199357.5018712393,,8101.6256,7348.6479,796434.5472,0,811.1565,156,2,53,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/attention_128_64
128x128,128,128,attention_128_64,,64,128,,,,,1,1,7,True,187.8,40,40,3.5824,99705.25,5676899.17,2799.676790529008,176152.50333924816,,8821.2311,14959.0969,828796.5921,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/attention_128_64
1024x256,1024,256,attention_128_64,,64,128,,,,,1,1,7,True,187.8,40,40,3.5824,99705.25,15745015.48,2799.676790529008,63512.16366031797,,44942.5857,30205.6826,828796.5921,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/attention_128_64
128x64,128,64,attention_128_64,,64,128,,,,,1,1,11,True,187.8,40,40,3.5824,102348.4,4175563.62,2727.375067112846,239488.62740594524,,4602.2748,7503.5059,828796.5921,0,811.1565,156,2,53,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/attention_128_64
1024x64,1024,64,attention_128_64,,64,128,,,,,1,1,11,True,187.68,40,40,3.5824,102411.38,6598787.51,2725.697811306638,151542.99156997708,,13544.2114,7843.9216,829326.5132,0,811.1565,156,2,53,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/attention_128_64
256x128,256,128,attention_128_64,,64,128,,,,,1,1,7,True,171.069,41,41,3.763759,109205.33,6690832.68,2432.9565749728945,149458.22856834615,,12065.1573,16474.7371,909855.0877,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/attention_128_64
1024x128,1024,128,attention_128_64,,64,128,,,,,1,1,7,True,167.313,42,42,3.949596,111599.18,9763219.32,2268.7483267973344,102425.23159871,,26943.8573,17167.2685,930280.3727,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/attention_128_64
512x256,512,256,attention_128_64,,64,128,,,,,1,1,7,True,171.069,43,43,4.139911,109205.33,13821588.78,2211.8983247860656,72350.58255003301,,31971.8289,32949.4742,909855.0877,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/attention_128_64
