mode,clb_replace_ratio,pair_name,config,rows,cols,workload,wl_type,K,N,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,e_dpe_grouped,e_mem_grouped,e_fpga_grouped,clb_count,dsp_count,mem_count,wc_count,run_dir
clb_replace,0.05,,512x128,512,128,attention,attention,128,128,1,1,3,True,130.111,106,106,25.157404,20537007.99,2376143.3,1.9355170608809262,420850.03880026937,22124.7151,21799.1838,1762925.5021,0,126849.39300000001,43923.8988,126849.393,2205377.7275,169,18,86,3,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/attention
clb_replace,0.05,,512x128,512,128,fc_128_128,fc,128,128,1,1,1,True,359.496,106,106,25.157404,154.65,126.77,257030.25764043257,7888301648.655045,62.5587,61.6382,0,0,2.574,124.1969,2.574,0.0,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_128_128
clb_replace,0.05,,512x128,512,128,fc_2048_256,fc,2048,256,4,2,8,False,177.603,106,106,25.157404,2712.66,2214.49,14653.413750375239,451571242.1370158,1013.0279,998.1228,65.2674,115.2,22.869,2011.1507,22.869,180.4674,20,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_2048_256
clb_replace,0.05,,512x128,512,128,fc_256_512,fc,256,512,1,4,4,True,312.747,106,106,25.157404,505.61,578.72,78617.37177684954,1727951340.8902404,287.6395,283.4074,0,0,7.672499999999999,0,0,0,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_256_512
clb_replace,0.05,,512x128,512,128,fc_512_128,fc,512,128,1,1,1,True,349.703,106,106,25.157404,378.88,134.06,104913.77043943437,7459346561.241235,64.3106,63.3643,0,0,6.3854999999999995,0,0,0,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_512_128
clb_replace,0.05,,512x128,512,128,fc_512_512,fc,512,512,1,4,4,True,312.747,106,106,25.157404,668.68,581.24,59445.06990502617,1720459706.8336658,287.6395,283.4074,0,0,10.197,0,0,0,8,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_512_512
clb_replace,0.05,,512x128,512,128,fc_64_64,fc,64,64,1,1,1,True,339.979,106,106,25.157404,86.48,132.61,459640.7185949687,7540909433.677701,66.15,65.1767,0,0,1.287,131.3266,1.287,0.0,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb5/fc_64_64
clb_replace,0.08,,512x128,512,128,attention,attention,128,128,1,1,3,True,130.545,106,106,25.157404,20469908.01,2370136.38,1.9418616500217918,421916.64937019366,22051.1609,21726.7119,1757064.6137,0,126849.39300000001,43777.8728,126849.393,2199516.8391,169,18,86,3,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb8/attention
clb_replace,0.08,,512x128,512,128,fc_128_128,fc,128,128,1,1,1,True,293.654,106,106,25.157404,187.08,154.62,212474.49938044098,6467468632.777131,76.5854,75.4585,0,0,2.574,0,0,0,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb8/fc_128_128
clb_replace,0.08,,512x128,512,128,fc_2048_256,fc,2048,256,4,2,8,False,179.319,106,106,25.157404,2686.79,2195.24,14794.50546715333,455531058.1075418,1003.3337,988.5712,65.2674,115.2,22.869,1991.9049,22.869,180.4674,20,0,6,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2/512x128/clb8/fc_2048_256
