config,budget_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
1024x128,10,fc_2048_256,1,207.489,4.819532601728285,4.583333333333333,207.489,207.489,207.489,OK (cached)
1024x128,10,fc_512_128,5,311.22700000000003,0.6426177677386601,4.583333333333333,312.747,297.707,323.227,OK (cached)
1024x128,10,fc_512_512,1,299.24399999999997,3.3417545548114584,4.583333333333333,274.755,331.576,291.401,OK (cached)
1024x128,20,fc_2048_256,2,235.643,2.1218538212465465,9.166666666666666,224.23,240.217,242.482,OK (cached)
1024x128,20,fc_512_128,10,256.968,0.3891535132779178,9.166666666666666,256.387,263.48,251.037,OK (cached)
1024x128,20,fc_512_512,2,307.9786666666667,1.6234890728362137,9.166666666666666,317.535,293.654,312.747,OK (cached)
1024x128,30,fc_2048_256,6,216.75066666666666,0.768932659953372,22.916666666666664,220.064,215.094,215.094,OK (cached)
1024x128,30,fc_512_128,21,215.53166666666667,0.220937592862832,22.916666666666664,222.025,216.967,207.603,OK (cached)
1024x128,30,fc_512_512,6,265.32433333333336,0.6281620105204573,22.916666666666664,242.352,269.511,284.11,OK (cached)
1024x128,35,fc_2048_256,5,214.60533333333333,0.9319432881444388,18.333333333333332,211.421,211.421,220.974,OK
1024x128,35,fc_512_128,20,209.561,0.2385940131990208,18.333333333333332,206.474,215.735,206.474,OK
1024x128,35,fc_512_512,5,283.66499999999996,0.7050570214866129,18.333333333333332,285.4,276.758,288.837,OK
1024x128,40,fc_2048_256,8,186.34466666666665,0.6707999871206403,32.083333333333336,169.203,196.91,192.921,OK (cached)
1024x128,40,fc_512_128,14,216.479,0.32995612243483863,32.083333333333336,221.143,212.169,216.125,OK (cached)
1024x128,40,fc_512_512,8,239.8406666666667,0.5211793385052854,32.083333333333336,238.585,238.585,242.352,OK (cached)
1024x128,50,fc_2048_256,10,nan,inf,36.666666666666664,nan,nan,nan,FAILED
1024x128,50,fc_512_128,14,210.799,0.3388468229383034,36.666666666666664,216.967,203.261,212.169,OK (cached)
1024x128,50,fc_512_512,10,247.784,0.40357730926936364,36.666666666666664,254.247,235.147,253.958,OK (cached)
1024x256,35,fc_2048_256,6,206.98433333333332,0.8052139211824406,21.0,204.797,204.769,211.387,OK
1024x256,35,fc_512_128,12,229.42733333333334,0.36322321374087946,21.0,229.153,227.848,231.281,OK
1024x256,35,fc_512_512,6,285.8523333333333,0.5830516222245286,21.0,274.755,291.401,291.401,OK
1024x256,40,fc_2048_256,6,197.55233333333334,0.8436583048879874,21.0,201.298,186.59,204.769,OK (cached)
1024x256,40,fc_512_128,12,217.08866666666668,0.383867728393621,21.0,217.543,206.507,227.216,OK (cached)
1024x256,40,fc_512_512,6,286.274,0.5821928176036478,21.0,291.401,292.666,274.755,OK (cached)
1024x256,50,fc_2048_256,6,191.49333333333334,0.8703523186185768,21.0,193.133,183.075,198.272,OK (cached)
