tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
tw2,0,LU8PEEng,12.467466666666667,12.5048,12.3719,12.5257,1676,8,74,OK
tw2,0,arm_core,47.8171,47.7497,47.3748,48.3268,662,0,42,OK
tw2,0,bgm,52.6064,52.3201,50.5057,54.9934,2089,11,0,OK
tw2,0,stereovision1,180.83100000000002,181.465,175.966,185.062,519,40,0,OK
tw2,10,LU8PEEng,12.311766666666665,12.2977,12.2856,12.352,1676,8,74,OK
tw2,10,arm_core,45.848533333333336,47.5163,45.7101,44.3192,662,0,42,OK
tw2,10,bgm,53.578966666666666,53.8128,52.6445,54.2796,2089,11,0,OK
tw2,10,stereovision1,183.081,181.535,182.718,184.99,519,40,0,OK
tw2,20,LU8PEEng,12.034133333333335,12.1011,11.5044,12.4969,1676,8,74,OK
tw2,20,arm_core,46.53836666666667,46.4596,47.1403,46.0152,662,0,42,OK
tw2,20,bgm,53.19403333333333,52.7843,53.3986,53.3992,2089,11,0,OK
tw2,20,stereovision1,176.346,176.031,178.139,174.868,519,40,0,OK
tw2,30,LU8PEEng,12.166666666666666,12.0192,12.2208,12.26,1676,8,74,OK
tw2,30,arm_core,46.37766666666666,45.7256,45.0806,48.3268,662,0,42,OK
tw2,30,bgm,50.76586666666666,53.2414,49.2058,49.8504,2089,11,0,OK
tw2,30,stereovision1,178.59833333333336,178.139,174.868,182.788,519,40,0,OK
tw2,35,LU8PEEng,11.921233333333333,11.9175,12.0194,11.8268,1676,8,74,OK
tw2,35,arm_core,45.059433333333324,46.9081,43.1232,45.147,662,0,42,OK
tw2,35,bgm,nan,nan,nan,nan,0,0,0,FAILED
tw2,35,stereovision1,183.9766666666667,186.292,186.292,179.346,519,40,0,OK
tw2,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw2,40,arm_core,44.8265,46.4596,42.7401,45.2798,662,0,42,OK
tw2,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
tw2,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
tw2,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw2,50,arm_core,44.8265,46.4596,42.7401,45.2798,662,0,42,OK
