config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
128x64,128,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,52.54,52525927.19160623,19033117624.66692,1000.2679211799999,19.4868,31.771,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_64_64
128x256,128,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,202.67,52525927.19160623,4934129372.872157,3858.47543939,74.701,126.6784,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_64_64
256x64,256,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,58.15,52525927.19160623,17196904557.179707,1107.0723185499999,24.8903,31.9739,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_64_64
256x128,256,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,111.36,52525927.19160623,8979885057.471264,2120.09584512,46.5346,63.5421,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_64_64
512x64,512,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,69.36,52525927.19160623,14417531718.56978,1320.49073112,35.6975,32.3797,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_64_64
512x128,512,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,130.14,52525927.19160623,7684032580.2981415,2477.6335603799994,64.9028,63.9479,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_64_64
1024x128,1024,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,167.69,52525927.19160623,5963384817.222256,3192.51860873,101.6392,64.7594,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_64_64
256x256,256,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,11,11,0.270919,85.03,217.79,43409857.183145635,4591579044.033243,5017.0632693203,89.8232,126.6784,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_64_64
512x256,512,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,360.58,12,12,0.322416,82.11,241.92,37773511.72801965,4133597883.5978837,6404.487931699199,118.5024,122.126,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_64_64
1024x256,1024,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,12,12,0.322416,85.03,319.48,36476338.32750433,3130086390.3843746,8758.5545767104,190.2941,127.8957,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_64_64
