arch,seq_len,total_pj,dimm_pj,proj_pj,ffn_pj,other_pj,dimm_dpe_pj,dimm_fabric_pj,total_ns,dimm_ns,proj_ns,ffn_ns,other_ns
Proposed,1024,478427266.65452266,475727932.5828138,455470.76052428805,569338.0546553599,1674525.2565292337,224526930.1907948,251201002.39201903,14504512.163890935,4797317.735003685,1571192.7487103906,3109782.0781134856,5026219.6020633755
Proposed,2048,1873083375.4900186,1867684721.5036008,910940.729048576,1138675.9113107198,3349037.346058452,897673012.2826548,970011709.2209461,37380710.02623434,17969550.969491526,3140772.70449521,6218757.759764185,10051628.59248342
Proposed,4096,7403355002.92918,7392557708.073845,1821881.4580971524,2277351.6246214397,6698061.772616845,3589822632.169571,3802735075.904275,108016761.6082535,69197673.29579955,6279932.616064848,12436709.123065587,20102446.57332351
Proposed,6144,16590814896.078484,16574618960.502731,2732822.187145728,3416027.33793216,10047086.05067527,8076448859.660746,8498170100.841987,211911517.19263083,153684484.88607225,9419092.527634488,18654660.486366984,30153279.292557117
Proposed,8192,29420008728.724438,29398414152.279766,3643762.9161943044,4554703.051242879,13396110.47723369,14357551694.756186,15040862457.523582,348581881.7167281,270946920.15445834,12558252.439204127,24872611.849668384,40204097.27339721
Azure-Lily,1024,696174034.3446528,649902426.0066235,19597361.15199999,24968560.639999997,1705686.5460292266,0.0,649902426.0066235,147681664.1649448,78702869.75717439,11586113.122472405,23154999.166092712,34237682.119205296
Azure-Lily,2048,2692021293.3163624,2599478108.320304,39194722.30399998,49937121.279999994,3411341.412058453,0.0,2599478108.320304,401214335.2466225,263282560.70640177,23159799.656688742,46302372.23452538,68469602.64900662
Azure-Lily,4096,10582741776.78895,10397655438.476833,78389444.60799997,99874242.55999999,6822651.144116906,0.0,10397655438.476833,1228312370.566711,952474613.6865343,46307172.72512141,92597118.37139073,136933465.78366446
Azure-Lily,6144,23672163547.633762,23394534056.00559,117584166.91199997,149811363.83999997,10233960.876175357,0.0,23394534056.00559,2482241134.3636203,2068497395.143488,69454545.79355408,138891864.50825608,205397328.91832227
Azure-Lily,8192,41960553059.99481,41590380415.050575,156778889.21599993,199748485.11999997,13645270.608233811,0.0,41590380415.050575,4304976079.175982,3753326357.615894,92601918.86198676,185186610.64512143,273861192.05298007
